school	ga4_property_id	search_console_property
CHHS	515247233	https://schools.edu.ky/chhs/
CIFEC	515212507	https://schools.edu.ky/cifec/
EEPS	514289807	https://schools.edu.ky/eeps/
EMPS	515247448	https://schools.edu.ky/emmps/
JACPS	515199204	https://schools.edu.ky/jacps/
JCPS	515226257	https://schools.edu.ky/jcps/
JGHS	505813470	https://schools.edu.ky/jghs/
LHSS	515226261	https://schools.edu.ky/lhs/
LSHS	514969135	https://schools.edu.ky/lshs/
MMPS	515245326	https://schools.edu.ky/mmps/
PPPS	515224949	https://schools.edu.ky/pps/
RBPS	515245038	https://schools.edu.ky/rbps/
SBPS	515247449	https://schools.edu.ky/csbs/
TMPS	515226041	https://schools.edu.ky/tmps/
WEPS	514112059	https://schools.edu.ky/weps/
