school,total_posts,no_news_posts_in_period,avg_views_all_days,avg_views_on_post_days,avg_views_within_1_day,avg_views_within_3_days,avg_views_within_7_days,avg_views_no_recent_post,view_lift_on_post_days_pct,view_lift_within_1_day_pct,view_lift_within_3_days_pct,view_lift_within_7_days_pct,month
CHHS,1,False,29.75,21.0,18.5,21.25,24.5,31.85,-34.07,-41.92,-33.28,-23.08,2026-05
CIFEC,1,False,14.33,26.0,13.0,13.0,13.0,14.44,80.06,-9.97,-9.97,-9.97,2026-05
EEPS,1,False,5.32,3.0,3.0,2.0,2.33,6.26,-52.1,-52.1,-68.07,-62.75,2026-05
EMPS,1,False,4.58,6.0,6.0,3.0,4.57,4.59,30.77,30.77,-34.62,-0.37,2026-05
JACPS,1,False,12.63,2.0,2.0,5.5,10.17,13.33,-85.0,-85.0,-58.75,-23.75,2026-05
JCPS,1,False,10.81,9.0,5.5,4.67,12.29,10.26,-12.31,-46.41,-54.53,19.71,2026-05
JGHS,1,False,37.14,33.0,17.0,17.0,17.0,38.69,-14.71,-56.06,-56.06,-56.06,2026-05
LHSS,1,False,10.16,8.0,8.0,8.0,8.0,10.25,-21.95,-21.95,-21.95,-21.95,2026-05
LSHS,0,True,4.88,,,,,4.88,,,,,2026-05
MMPS,0,True,10.85,,,,,10.85,,,,,2026-05
PPPS,0,True,9.33,,,,,9.33,,,,,2026-05
RBPS,1,False,18.18,18.0,16.0,13.25,11.62,20.8,-13.46,-23.08,-36.3,-44.11,2026-05
SBPS,1,False,4.5,4.0,4.0,4.0,4.0,4.52,-11.5,-11.5,-11.5,-11.5,2026-05
TMPS,1,False,8.08,13.0,7.0,6.25,7.0,8.59,51.37,-18.49,-27.23,-18.49,2026-05
WEPS,1,False,12.64,4.0,2.5,2.5,2.5,13.52,-70.42,-81.51,-81.51,-81.51,2026-05
